2024-07-14 14:09:32 500 [GET /api/v1/summoners/search?q=%ED%83%80+%EC%9E%94-KR1&region=kr HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/search?q=%25ED%2583%2580%2520%25EC%259E%2594-KR1&region=kr] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 135]
2024-07-14 14:12:09 200 [GET /api/v1/summoners/search?q=hide+on+bush-Kr1&region=kr HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/search?q=hide%2520on%2520bush-Kr1&region=kr] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 399]
2024-07-14 14:12:10 200 [GET /api/v1/summoners/kr/Hide%20on%20bush-KR1 HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Hide%20on%20bush-KR1] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 397]
2024-07-14 14:12:10 200 [GET /api/v1/leagues/by-summoner/dT2F44sROzMZ-57hE2dE4K-_r6dQTf-4JbziRgnttrGw-A HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Hide%20on%20bush-KR1] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 159]
2024-07-14 14:12:10 200 [GET /api/v1/rank/champions?puuid=G4HjnUX5quA2Oopg9qtnEbqJEOBM0ALSxKh3S6jU2G42CSPdqyCvFwTN04-l24k0mKwNrqOhjrfP_g&season=23&platform=kr HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Hide%20on%20bush-KR1] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 939]
2024-07-14 14:12:10 200 [GET /api/v1/matches?puuid=G4HjnUX5quA2Oopg9qtnEbqJEOBM0ALSxKh3S6jU2G42CSPdqyCvFwTN04-l24k0mKwNrqOhjrfP_g&pageNo=0&platform=kr HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Hide%20on%20bush-KR1] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 341493]
2024-07-14 14:20:01 200 [GET /api/v1/summoners/kr/Hide%20on%20bush-KR1 HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Hide%20on%20bush-KR1] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 397]
2024-07-14 14:20:02 200 [GET /api/v1/rank/champions?puuid=G4HjnUX5quA2Oopg9qtnEbqJEOBM0ALSxKh3S6jU2G42CSPdqyCvFwTN04-l24k0mKwNrqOhjrfP_g&season=23&platform=kr HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Hide%20on%20bush-KR1] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 939]
2024-07-14 14:20:02 200 [GET /api/v1/leagues/by-summoner/dT2F44sROzMZ-57hE2dE4K-_r6dQTf-4JbziRgnttrGw-A HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Hide%20on%20bush-KR1] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 159]
2024-07-14 14:20:02 200 [GET /api/v1/matches?puuid=G4HjnUX5quA2Oopg9qtnEbqJEOBM0ALSxKh3S6jU2G42CSPdqyCvFwTN04-l24k0mKwNrqOhjrfP_g&pageNo=0&platform=kr HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Hide%20on%20bush-KR1] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 341493]
2024-07-14 14:21:43 200 [GET /api/v1/summoners/kr/Hide%20on%20bush-KR1 HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Hide%20on%20bush-KR1] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 397]
2024-07-14 14:21:43 200 [GET /api/v1/rank/champions?puuid=G4HjnUX5quA2Oopg9qtnEbqJEOBM0ALSxKh3S6jU2G42CSPdqyCvFwTN04-l24k0mKwNrqOhjrfP_g&season=23&platform=kr HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Hide%20on%20bush-KR1] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 939]
2024-07-14 14:21:43 200 [GET /api/v1/leagues/by-summoner/dT2F44sROzMZ-57hE2dE4K-_r6dQTf-4JbziRgnttrGw-A HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Hide%20on%20bush-KR1] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 159]
2024-07-14 14:21:43 200 [GET /api/v1/matches?puuid=G4HjnUX5quA2Oopg9qtnEbqJEOBM0ALSxKh3S6jU2G42CSPdqyCvFwTN04-l24k0mKwNrqOhjrfP_g&pageNo=0&platform=kr HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Hide%20on%20bush-KR1] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 341493]
2024-07-14 14:23:15 200 [GET /api/v1/summoners/kr/Hide%20on%20bush-KR1 HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Hide%20on%20bush-KR1] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 397]
2024-07-14 14:23:15 200 [GET /api/v1/rank/champions?puuid=G4HjnUX5quA2Oopg9qtnEbqJEOBM0ALSxKh3S6jU2G42CSPdqyCvFwTN04-l24k0mKwNrqOhjrfP_g&season=23&platform=kr HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Hide%20on%20bush-KR1] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 939]
2024-07-14 14:23:15 200 [GET /api/v1/leagues/by-summoner/dT2F44sROzMZ-57hE2dE4K-_r6dQTf-4JbziRgnttrGw-A HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Hide%20on%20bush-KR1] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 159]
2024-07-14 14:23:15 200 [GET /api/v1/matches?puuid=G4HjnUX5quA2Oopg9qtnEbqJEOBM0ALSxKh3S6jU2G42CSPdqyCvFwTN04-l24k0mKwNrqOhjrfP_g&pageNo=0&platform=kr HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Hide%20on%20bush-KR1] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 341493]
2024-07-14 14:23:23 200 [GET /api/v1/summoners/kr/Hide%20on%20bush-KR1 HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Hide%20on%20bush-KR1] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 397]
2024-07-14 14:23:23 200 [GET /api/v1/rank/champions?puuid=G4HjnUX5quA2Oopg9qtnEbqJEOBM0ALSxKh3S6jU2G42CSPdqyCvFwTN04-l24k0mKwNrqOhjrfP_g&season=23&platform=kr HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Hide%20on%20bush-KR1] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 939]
2024-07-14 14:23:23 200 [GET /api/v1/leagues/by-summoner/dT2F44sROzMZ-57hE2dE4K-_r6dQTf-4JbziRgnttrGw-A HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Hide%20on%20bush-KR1] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 159]
2024-07-14 14:23:23 200 [GET /api/v1/matches?puuid=G4HjnUX5quA2Oopg9qtnEbqJEOBM0ALSxKh3S6jU2G42CSPdqyCvFwTN04-l24k0mKwNrqOhjrfP_g&pageNo=0&platform=kr HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Hide%20on%20bush-KR1] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 341493]
2024-07-14 14:23:30 200 [GET /api/v1/summoners/kr/Hide%20on%20bush-KR1 HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Hide%20on%20bush-KR1] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 397]
2024-07-14 14:23:30 200 [GET /api/v1/rank/champions?puuid=G4HjnUX5quA2Oopg9qtnEbqJEOBM0ALSxKh3S6jU2G42CSPdqyCvFwTN04-l24k0mKwNrqOhjrfP_g&season=23&platform=kr HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Hide%20on%20bush-KR1] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 939]
2024-07-14 14:23:30 200 [GET /api/v1/leagues/by-summoner/dT2F44sROzMZ-57hE2dE4K-_r6dQTf-4JbziRgnttrGw-A HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Hide%20on%20bush-KR1] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 159]
2024-07-14 14:23:30 200 [GET /api/v1/matches?puuid=G4HjnUX5quA2Oopg9qtnEbqJEOBM0ALSxKh3S6jU2G42CSPdqyCvFwTN04-l24k0mKwNrqOhjrfP_g&pageNo=0&platform=kr HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Hide%20on%20bush-KR1] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 341493]
2024-07-14 14:23:47 200 [GET /api/v1/summoners/kr/Hide%20on%20bush-KR1 HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Hide%20on%20bush-KR1] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 397]
2024-07-14 14:23:47 200 [GET /api/v1/rank/champions?puuid=G4HjnUX5quA2Oopg9qtnEbqJEOBM0ALSxKh3S6jU2G42CSPdqyCvFwTN04-l24k0mKwNrqOhjrfP_g&season=23&platform=kr HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Hide%20on%20bush-KR1] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 939]
2024-07-14 14:23:47 200 [GET /api/v1/leagues/by-summoner/dT2F44sROzMZ-57hE2dE4K-_r6dQTf-4JbziRgnttrGw-A HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Hide%20on%20bush-KR1] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 159]
2024-07-14 14:23:48 200 [GET /api/v1/matches?puuid=G4HjnUX5quA2Oopg9qtnEbqJEOBM0ALSxKh3S6jU2G42CSPdqyCvFwTN04-l24k0mKwNrqOhjrfP_g&pageNo=0&platform=kr HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Hide%20on%20bush-KR1] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 341493]
2024-07-14 14:23:49 200 [GET /api/v1/summoners/kr/Hide%20on%20bush-KR1 HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Hide%20on%20bush-KR1] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 397]
2024-07-14 14:23:49 200 [GET /api/v1/rank/champions?puuid=G4HjnUX5quA2Oopg9qtnEbqJEOBM0ALSxKh3S6jU2G42CSPdqyCvFwTN04-l24k0mKwNrqOhjrfP_g&season=23&platform=kr HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Hide%20on%20bush-KR1] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 939]
2024-07-14 14:23:49 200 [GET /api/v1/leagues/by-summoner/dT2F44sROzMZ-57hE2dE4K-_r6dQTf-4JbziRgnttrGw-A HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Hide%20on%20bush-KR1] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 159]
2024-07-14 14:23:49 200 [GET /api/v1/matches?puuid=G4HjnUX5quA2Oopg9qtnEbqJEOBM0ALSxKh3S6jU2G42CSPdqyCvFwTN04-l24k0mKwNrqOhjrfP_g&pageNo=0&platform=kr HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Hide%20on%20bush-KR1] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 341493]
2024-07-14 14:23:57 200 [GET /api/v1/summoners/kr/Hide%20on%20bush-KR1 HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Hide%20on%20bush-KR1] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 397]
2024-07-14 14:23:57 200 [GET /api/v1/rank/champions?puuid=G4HjnUX5quA2Oopg9qtnEbqJEOBM0ALSxKh3S6jU2G42CSPdqyCvFwTN04-l24k0mKwNrqOhjrfP_g&season=23&platform=kr HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Hide%20on%20bush-KR1] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 939]
2024-07-14 14:23:57 200 [GET /api/v1/leagues/by-summoner/dT2F44sROzMZ-57hE2dE4K-_r6dQTf-4JbziRgnttrGw-A HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Hide%20on%20bush-KR1] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 159]
2024-07-14 14:23:57 200 [GET /api/v1/matches?puuid=G4HjnUX5quA2Oopg9qtnEbqJEOBM0ALSxKh3S6jU2G42CSPdqyCvFwTN04-l24k0mKwNrqOhjrfP_g&pageNo=0&platform=kr HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Hide%20on%20bush-KR1] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 341493]
2024-07-14 14:29:24 200 [GET /api/v1/summoners/kr/Hide%20on%20bush-KR1 HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Hide%20on%20bush-KR1] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 397]
2024-07-14 14:29:24 200 [GET /api/v1/rank/champions?puuid=G4HjnUX5quA2Oopg9qtnEbqJEOBM0ALSxKh3S6jU2G42CSPdqyCvFwTN04-l24k0mKwNrqOhjrfP_g&season=23&platform=kr HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Hide%20on%20bush-KR1] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 939]
2024-07-14 14:29:24 200 [GET /api/v1/leagues/by-summoner/dT2F44sROzMZ-57hE2dE4K-_r6dQTf-4JbziRgnttrGw-A HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Hide%20on%20bush-KR1] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 159]
2024-07-14 14:29:24 200 [GET /api/v1/matches?puuid=G4HjnUX5quA2Oopg9qtnEbqJEOBM0ALSxKh3S6jU2G42CSPdqyCvFwTN04-l24k0mKwNrqOhjrfP_g&pageNo=0&platform=kr HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Hide%20on%20bush-KR1] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 341493]
2024-07-14 14:29:52 200 [GET /api/v1/summoners/kr/Hide%20on%20bush-KR1 HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Hide%20on%20bush-KR1] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 397]
2024-07-14 14:29:52 200 [GET /api/v1/rank/champions?puuid=G4HjnUX5quA2Oopg9qtnEbqJEOBM0ALSxKh3S6jU2G42CSPdqyCvFwTN04-l24k0mKwNrqOhjrfP_g&season=23&platform=kr HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Hide%20on%20bush-KR1] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 939]
2024-07-14 14:29:52 200 [GET /api/v1/leagues/by-summoner/dT2F44sROzMZ-57hE2dE4K-_r6dQTf-4JbziRgnttrGw-A HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Hide%20on%20bush-KR1] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 159]
2024-07-14 14:29:52 200 [GET /api/v1/matches?puuid=G4HjnUX5quA2Oopg9qtnEbqJEOBM0ALSxKh3S6jU2G42CSPdqyCvFwTN04-l24k0mKwNrqOhjrfP_g&pageNo=0&platform=kr HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Hide%20on%20bush-KR1] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 341493]
2024-07-14 14:37:57 200 [GET /api/v1/summoners/kr/Hide%20on%20bush-KR1 HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Hide%20on%20bush-KR1] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 397]
2024-07-14 14:37:57 200 [GET /api/v1/rank/champions?puuid=G4HjnUX5quA2Oopg9qtnEbqJEOBM0ALSxKh3S6jU2G42CSPdqyCvFwTN04-l24k0mKwNrqOhjrfP_g&season=23&platform=kr HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Hide%20on%20bush-KR1] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 939]
2024-07-14 14:37:57 200 [GET /api/v1/leagues/by-summoner/dT2F44sROzMZ-57hE2dE4K-_r6dQTf-4JbziRgnttrGw-A HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Hide%20on%20bush-KR1] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 159]
